iter	Passed	Remaining
0	47	47312
1	48	23956
2	48	16162
3	49	12270
4	49	9934
5	50	8367
6	51	7252
7	51	6415
8	52	5799
9	53	5276
10	54	4860
11	54	4504
12	55	4200
13	55	3941
14	56	3714
15	57	3516
16	57	3341
17	58	3186
18	59	3046
19	59	2925
20	60	2813
21	61	2719
22	61	2626
23	62	2554
24	63	2477
25	64	2419
26	67	2435
27	68	2379
28	69	2323
29	70	2271
30	71	2220
31	71	2173
32	72	2130
33	73	2089
34	74	2052
35	75	2015
36	76	1984
37	76	1946
38	77	1913
39	78	1883
40	79	1868
41	81	1851
42	82	1829
43	83	1807
44	84	1784
45	85	1766
46	85	1740
47	87	1728
48	88	1717
49	89	1694
50	89	1672
51	90	1650
52	91	1629
53	91	1609
54	92	1590
55	93	1572
56	93	1555
57	94	1537
58	95	1521
59	96	1504
60	96	1490
61	97	1475
62	98	1462
63	99	1450
64	102	1476
65	103	1466
66	104	1455
67	105	1446
68	106	1436
69	107	1423
70	107	1410
71	108	1398
72	109	1388
73	110	1377
74	110	1366
75	112	1369
76	113	1364
77	114	1355
78	115	1348
79	116	1339
80	117	1330
81	117	1320
82	118	1307
83	119	1299
84	120	1292
85	120	1285
86	121	1276
87	122	1269
88	123	1264
89	124	1256
90	125	1250
91	126	1244
92	127	1239
93	128	1235
94	132	1259
95	133	1253
96	134	1249
97	134	1241
98	135	1233
99	136	1225
100	136	1218
101	137	1210
102	138	1203
103	139	1197
104	140	1194
105	141	1189
106	141	1182
107	142	1177
108	143	1172
109	144	1167
110	145	1163
111	146	1158
112	146	1153
113	147	1149
114	148	1144
115	149	1138
116	150	1133
117	150	1128
118	151	1124
119	156	1148
120	157	1145
121	158	1139
122	159	1134
123	159	1128
124	160	1123
125	161	1118
126	161	1111
127	162	1108
128	163	1103
129	164	1099
130	165	1096
131	165	1090
132	166	1085
133	167	1083
134	172	1104
135	173	1101
136	174	1096
137	174	1092
138	175	1087
139	177	1092
140	178	1088
141	179	1081
142	181	1088
143	182	1084
144	184	1089
145	187	1098
146	188	1095
147	189	1090
148	190	1085
149	190	1080
150	191	1075
151	191	1070
152	192	1066
153	193	1061
154	193	1056
155	194	1051
156	195	1047
157	195	1043
158	196	1038
159	197	1034
160	197	1029
161	198	1025
162	198	1021
163	199	1018
164	201	1022
165	203	1020
166	204	1017
167	204	1014
168	205	1011
169	206	1007
170	207	1003
171	207	1000
172	208	997
173	209	993
174	210	991
175	211	988
176	212	985
177	213	984
178	214	982
179	214	978
180	215	976
181	216	973
182	218	976
183	220	976
184	220	973
185	221	969
186	222	966
187	223	963
188	223	960
189	225	960
190	226	957
191	226	954
192	227	951
193	232	965
194	236	975
195	236	972
196	237	969
197	238	966
198	239	963
199	240	960
200	241	958
201	241	955
202	242	952
203	243	950
204	244	947
205	245	945
206	246	942
207	246	939
208	247	937
209	249	937
210	250	936
211	252	936
212	253	935
213	254	936
214	256	936
215	257	933
216	259	935
217	259	932
218	262	934
219	263	934
220	264	931
221	264	927
222	267	932
223	268	930
224	269	927
225	272	933
226	273	932
227	274	930
228	275	928
229	276	925
230	277	922
231	277	919
232	279	919
233	279	916
234	282	918
235	283	917
236	284	916
237	286	916
238	287	915
239	288	912
240	289	912
241	290	909
242	292	911
243	293	908
244	295	909
245	296	908
246	298	909
247	299	909
248	301	910
249	302	907
250	308	920
251	310	920
252	311	918
253	314	922
254	316	923
255	318	926
256	321	928
257	322	927
258	323	926
259	325	926
260	326	924
261	327	921
262	328	921
263	329	918
264	330	916
265	331	913
266	334	917
267	335	917
268	339	921
269	341	922
270	342	921
271	343	919
272	345	918
273	345	916
274	347	914
275	349	916
276	350	915
277	352	915
278	354	915
279	355	912
280	356	911
281	357	911
282	359	910
283	360	909
284	362	909
285	363	907
286	363	904
287	366	905
288	367	903
289	369	904
290	370	901
291	370	898
292	371	895
293	371	893
294	373	891
295	373	888
296	374	885
297	374	883
298	375	880
299	376	878
300	377	875
301	377	872
302	378	870
303	378	867
304	379	865
305	380	862
306	381	860
307	381	857
308	382	855
309	383	852
310	384	850
311	384	848
312	385	845
313	385	843
314	386	840
315	387	838
316	387	835
317	388	832
318	389	830
319	389	828
320	390	825
321	391	823
322	392	821
323	392	819
324	393	816
325	393	814
326	394	812
327	395	810
328	396	808
329	397	806
330	398	804
331	398	802
332	399	799
333	399	797
334	400	794
335	401	792
336	401	790
337	402	787
338	402	785
339	403	782
340	403	780
341	404	778
342	404	775
343	406	775
344	407	773
345	407	770
346	408	768
347	410	769
348	411	767
349	412	765
350	412	763
351	413	761
352	414	759
353	414	756
354	415	754
355	415	752
356	416	751
357	417	748
358	418	746
359	418	744
360	419	742
361	419	739
362	420	737
363	422	737
364	422	735
365	423	733
366	423	731
367	424	729
368	425	728
369	426	726
370	427	724
371	427	722
372	428	720
373	429	718
374	429	716
375	430	714
376	431	712
377	431	710
378	432	709
379	433	707
380	433	704
381	434	702
382	435	700
383	435	698
384	436	697
385	437	695
386	437	693
387	438	691
388	438	689
389	439	688
390	440	686
391	441	684
392	442	682
393	442	680
394	443	679
395	444	678
396	445	676
397	445	674
398	446	672
399	446	670
400	447	668
401	447	666
402	448	664
403	449	662
404	449	660
405	450	658
406	450	656
407	451	655
408	452	653
409	452	651
410	453	649
411	454	648
412	457	649
413	457	648
414	458	646
415	459	645
416	460	643
417	460	641
418	461	639
419	461	637
420	462	635
421	462	634
422	463	632
423	463	630
424	464	628
425	465	626
426	465	625
427	466	623
428	467	621
429	467	620
430	468	618
431	468	616
432	469	614
433	470	613
434	470	611
435	471	609
436	472	608
437	472	606
438	473	605
439	474	603
440	474	601
441	475	600
442	476	598
443	476	596
444	477	595
445	477	593
446	478	592
447	479	590
448	479	588
449	480	587
450	480	585
451	481	583
452	481	581
453	482	580
454	483	578
455	483	577
456	484	576
457	485	574
458	486	572
459	486	571
460	487	569
461	487	567
462	488	566
463	488	564
464	489	563
465	489	561
466	490	559
467	491	558
468	491	556
469	492	554
470	492	553
471	493	551
472	493	550
473	494	548
474	495	547
475	495	545
476	496	544
477	496	542
478	497	540
479	497	539
480	498	537
481	499	536
482	499	534
483	500	533
484	502	533
485	503	532
486	503	530
487	504	529
488	504	527
489	505	526
490	505	524
491	506	522
492	507	521
493	507	519
494	508	518
495	508	516
496	509	515
497	509	513
498	510	512
499	510	510
500	513	511
501	514	510
502	515	509
503	516	507
504	516	506
505	517	505
506	518	504
507	519	502
508	519	501
509	520	499
510	521	498
511	521	497
512	522	496
513	523	494
514	524	493
515	524	492
516	525	490
517	526	489
518	526	488
519	527	486
520	527	485
521	528	483
522	529	482
523	530	481
524	530	480
525	531	479
526	532	477
527	533	476
528	533	475
529	534	473
530	534	472
531	535	471
532	535	469
533	536	468
534	537	467
535	538	465
536	538	464
537	539	463
538	541	462
539	541	461
540	542	460
541	543	458
542	543	457
543	544	456
544	545	455
545	546	454
546	546	452
547	547	451
548	547	450
549	548	448
550	549	447
551	549	446
552	550	445
553	551	443
554	551	442
555	552	441
556	553	440
557	554	438
558	554	437
559	555	436
560	555	435
561	556	433
562	557	432
563	557	431
564	558	430
565	559	429
566	560	427
567	561	426
568	561	425
569	562	424
570	563	423
571	563	421
572	564	420
573	565	419
574	565	418
575	566	416
576	567	415
577	567	414
578	568	413
579	569	412
580	569	410
581	570	409
582	571	408
583	572	407
584	573	406
585	573	405
586	574	404
587	574	402
588	575	401
